asdfasdfasdf
cm-1, A
4000.00,0.1924
3999.88,0.1925
3999.75,0.1924
3999.63,0.1921
3999.50,0.1919
3999.38,0.1917
3999.25,0.1915
3999.13,0.1913
3999.00,0.1912
3998.88,0.1913
3998.75,0.1916
3998.63,0.1919
3998.50,0.1920
3998.38,0.1919
3998.25,0.1917
3998.13,0.1917
3998.00,0.1919
3997.88,0.1921
3997.75,0.1922
3997.63,0.1923
3997.50,0.1923
3997.38,0.1923
3997.25,0.1924
3997.13,0.1924
3997.00,0.1923
3996.88,0.1921
3996.75,0.1919
3996.63,0.1917
3996.50,0.1917
3996.38,0.1918
3996.25,0.1919
3996.13,0.1919
3996.00,0.1920
3995.88,0.1920
3995.75,0.1921
3995.63,0.1920
3995.50,0.1919
3995.38,0.1918
3995.25,0.1916
3995.13,0.1915
3995.00,0.1914
3994.88,0.1913
3994.75,0.1914
3994.63,0.1916
3994.50,0.1918
3994.38,0.1918
3994.25,0.1918
3994.13,0.1919
3994.00,0.1919
3993.88,0.1920
3993.75,0.1919
3993.63,0.1918
3993.50,0.1917
3993.38,0.1916
3993.25,0.1917
3993.13,0.1918
3993.00,0.1919
3992.88,0.1920
3992.75,0.1921
3992.63,0.1922
3992.50,0.1922
3992.38,0.1921
3992.25,0.1918
3992.13,0.1916
3992.00,0.1914
3991.88,0.1915
3991.75,0.1915
3991.63,0.1917
3991.50,0.1918
3991.38,0.1920
3991.25,0.1922
3991.13,0.1921
3991.00,0.1918
3990.88,0.1914
3990.75,0.1912
3990.63,0.1912
3990.50,0.1913
3990.38,0.1914
3990.25,0.1915
3990.13,0.1916
3990.00,0.1917
3989.88,0.1918
3989.75,0.1919
3989.63,0.1919
3989.50,0.1917
3989.38,0.1915
3989.25,0.1913
3989.13,0.1911
3989.00,0.1910
3988.88,0.1911
3988.75,0.1913
3988.63,0.1915
3988.50,0.1917
3988.38,0.1917
3988.25,0.1916
3988.13,0.1914
3988.00,0.1912
3987.88,0.1910
3987.75,0.1909
3987.63,0.1910
3987.50,0.1912
3987.38,0.1914
3987.25,0.1915
3987.13,0.1917
