asdfasdfasdf
cm-1, A
4000.00,0.1924
3999.88,0.1925
3999.75,0.1924
3999.63,0.1921
3999.50,0.1919
3999.38,0.1917
3999.25,0.1915
3999.13,0.1913
3999.00,0.1912
3998.88,0.1913
3998.75,0.1916
3998.63,0.1919
3998.50,0.1920
3998.38,0.1919
3998.25,0.1917
3998.13,0.1917
3998.00,0.1919
3997.88,0.1921
3997.75,0.1922
3997.63,0.1923
3997.50,0.1923
3997.38,0.1923
3997.25,0.1924
3997.13,0.1924
3997.00,0.1923
3996.88,0.1921
3996.75,0.1919
3996.63,0.1917
3996.50,0.1917
3996.38,0.1918
3996.25,0.1919
3996.13,0.1919
3996.00,0.1920
3995.88,0.1920
3995.75,0.1921
3995.63,0.1920
3995.50,0.1919
3995.38,0.1918
3995.25,0.1916
3995.13,0.1915
3995.00,0.1914
3994.88,0.1913
3994.75,0.1914
3994.63,0.1916
3994.50,0.1918
3994.38,0.1918
3994.25,0.1918
3994.13,0.1919
3994.00,0.1919
3993.88,0.1920
3993.75,0.1919
3993.63,0.1918
3993.50,0.1917
3993.38,0.1916
3993.25,0.1917
3993.13,0.1918
3993.00,0.1919
3992.88,0.1920
3992.75,0.1921
3992.63,0.1922
3992.50,0.1922
3992.38,0.1921
3992.25,0.1918
3992.13,0.1916
3992.00,0.1914
3991.88,0.1915
3991.75,0.1915
3991.63,0.1917
3991.50,0.1918
3991.38,0.1920
3991.25,0.1922
3991.13,0.1921
3991.00,0.1918
3990.88,0.1914
3990.75,0.1912
3990.63,0.1912
3990.50,0.1913
3990.38,0.1914
3990.25,0.1915
3990.13,0.1916
3990.00,0.1917
3989.88,0.1918
3989.75,0.1919
3989.63,0.1919
3989.50,0.1917
3989.38,0.1915
3989.25,0.1913
3989.13,0.1911
3989.00,0.1910
3988.88,0.1911
3988.75,0.1913
3988.63,0.1915
3988.50,0.1917
3988.38,0.1917
3988.25,0.1916
3988.13,0.1914
3988.00,0.1912
3987.88,0.1910
3987.75,0.1909
3987.63,0.1910
3987.50,0.1912
3987.38,0.1914
3987.25,0.1915
3987.13,0.1917
3987.00,0.1917
3986.88,0.1916
3986.75,0.1915
3986.63,0.1913
3986.50,0.1911
3986.38,0.1909
3986.25,0.1906
3986.13,0.1905
3986.00,0.1905
3985.88,0.1907
3985.75,0.1908
3985.63,0.1910
3985.50,0.1912
3985.38,0.1912
3985.25,0.1912
3985.13,0.1911
3985.00,0.1910
3984.88,0.1908
3984.75,0.1906
3984.63,0.1905
3984.50,0.1904
3984.38,0.1904
3984.25,0.1904
3984.13,0.1905
3984.00,0.1907
3983.88,0.1909
3983.75,0.1910
3983.63,0.1911
3983.50,0.1911
3983.38,0.1912
3983.25,0.1912
3983.13,0.1913
3983.00,0.1914
3982.88,0.1914
3982.75,0.1915
3982.63,0.1915
3982.50,0.1916
3982.38,0.1917
3982.25,0.1916
3982.13,0.1914
3982.00,0.1911
3981.88,0.1909
3981.75,0.1909
3981.63,0.1910
3981.50,0.1911
3981.38,0.1912
3981.25,0.1912
3981.13,0.1910
3981.00,0.1908
3980.88,0.1906
3980.75,0.1905
3980.63,0.1906
3980.50,0.1907
3980.38,0.1909
3980.25,0.1910
3980.13,0.1910
3980.00,0.1909
3979.88,0.1908
3979.75,0.1907
3979.63,0.1906
3979.50,0.1905
3979.38,0.1905
3979.25,0.1904
3979.13,0.1904
3979.00,0.1905
3978.88,0.1906
3978.75,0.1909
3978.63,0.1910
3978.50,0.1909
3978.38,0.1908
3978.25,0.1906
3978.13,0.1905
3978.00,0.1905
3977.88,0.1905
3977.75,0.1906
3977.63,0.1906
3977.50,0.1904
3977.38,0.1902
3977.25,0.1901
3977.13,0.1903
3977.00,0.1907
3976.88,0.1913
3976.75,0.1917
3976.63,0.1918
3976.50,0.1916
3976.38,0.1912
3976.25,0.1908
3976.13,0.1905
3976.00,0.1905
3975.88,0.1906
3975.75,0.1908
3975.63,0.1909
3975.50,0.1910
3975.38,0.1910
3975.25,0.1908
3975.13,0.1906
3975.00,0.1906
3974.88,0.1907
3974.75,0.1908
3974.63,0.1908
3974.50,0.1908
3974.38,0.1909
3974.25,0.1911
3974.13,0.1914
3974.00,0.1915
3973.88,0.1914
3973.75,0.1911
3973.63,0.1908
3973.50,0.1904
3973.38,0.1900
3973.25,0.1897
3973.13,0.1896
3973.00,0.1898
3972.88,0.1901
3972.75,0.1905
3972.63,0.1909
3972.50,0.1910
3972.38,0.1911
3972.25,0.1912
3972.13,0.1913
3972.00,0.1911
3971.88,0.1908
3971.75,0.1904
3971.63,0.1903
3971.50,0.1904
3971.38,0.1905
3971.25,0.1905
3971.13,0.1904
3971.00,0.1902
3970.88,0.1902
3970.75,0.1903
3970.63,0.1905
3970.50,0.1908
3970.38,0.1910
3970.25,0.1911
3970.13,0.1910
3970.00,0.1908
3969.88,0.1908
3969.75,0.1909
3969.63,0.1909
3969.50,0.1909
3969.38,0.1908
3969.25,0.1907
3969.13,0.1907
3969.00,0.1907
3968.88,0.1908
3968.75,0.1908
3968.63,0.1907
3968.50,0.1906
3968.38,0.1904
3968.25,0.1903
3968.13,0.1902
3968.00,0.1902
3967.88,0.1900
3967.75,0.1899
3967.63,0.1898
3967.50,0.1899
3967.38,0.1901
3967.25,0.1904
3967.13,0.1908
3967.00,0.1912
3966.88,0.1916
3966.75,0.1916
3966.63,0.1913
3966.50,0.1909
3966.38,0.1907
3966.25,0.1905
3966.13,0.1904
3966.00,0.1903
3965.88,0.1902
3965.75,0.1902
3965.63,0.1902
3965.50,0.1903
3965.38,0.1904
3965.25,0.1904
3965.13,0.1904
3965.00,0.1903
3964.88,0.1901
3964.75,0.1900
3964.63,0.1898
3964.50,0.1897
3964.38,0.1898
3964.25,0.1900
3964.13,0.1904
3964.00,0.1906
3963.88,0.1909
3963.75,0.1911
3963.63,0.1912
3963.50,0.1911
3963.38,0.1909
3963.25,0.1907
3963.13,0.1904
3963.00,0.1902
3962.88,0.1901
3962.75,0.1901
3962.63,0.1903
3962.50,0.1905
3962.38,0.1907
3962.25,0.1907
3962.13,0.1905
3962.00,0.1904
3961.88,0.1902
3961.75,0.1901
3961.63,0.1901
3961.50,0.1902
3961.38,0.1904
3961.25,0.1904
3961.13,0.1904
3961.00,0.1903
3960.88,0.1902
3960.75,0.1901
3960.63,0.1900
3960.50,0.1899
3960.38,0.1899
3960.25,0.1899
3960.13,0.1899
3960.00,0.1898
3959.88,0.1897
3959.75,0.1898
3959.63,0.1899
3959.50,0.1899
3959.38,0.1898
3959.25,0.1898
3959.13,0.1898
3959.00,0.1898
3958.88,0.1898
3958.75,0.1900
3958.63,0.1902
3958.50,0.1905
3958.38,0.1906
3958.25,0.1903
3958.13,0.1899
3958.00,0.1896
3957.88,0.1897
3957.75,0.1899
3957.63,0.1901
3957.50,0.1900
3957.38,0.1898
3957.25,0.1897
3957.13,0.1899
3957.00,0.1901
3956.88,0.1902
3956.75,0.1901
3956.63,0.1899
3956.50,0.1896
3956.38,0.1894
3956.25,0.1894
3956.13,0.1895
3956.00,0.1897
3955.88,0.1900
3955.75,0.1902
3955.63,0.1904
3955.50,0.1905
3955.38,0.1906
3955.25,0.1907
3955.13,0.1906
3955.00,0.1903
3954.88,0.1900
3954.75,0.1897
3954.63,0.1897
3954.50,0.1897
3954.38,0.1899
3954.25,0.1901
3954.13,0.1902
3954.00,0.1901
3953.88,0.1901
3953.75,0.1901
3953.63,0.1902
3953.50,0.1903
3953.38,0.1903
3953.25,0.1902
3953.13,0.1902
3953.00,0.1902
3952.88,0.1902
3952.75,0.1903
3952.63,0.1903
3952.50,0.1901
3952.38,0.1899
3952.25,0.1896
3952.13,0.1894
3952.00,0.1894
3951.88,0.1895
3951.75,0.1897
3951.63,0.1899
3951.50,0.1899
3951.38,0.1899
3951.25,0.1900
3951.13,0.1902
3951.00,0.1905
3950.88,0.1905
3950.75,0.1903
3950.63,0.1899
3950.50,0.1895
3950.38,0.1893
3950.25,0.1893
3950.13,0.1895
3950.00,0.1898
3949.88,0.1900
3949.75,0.1902
3949.63,0.1903
3949.50,0.1903
3949.38,0.1901
3949.25,0.1899
3949.13,0.1897
3949.00,0.1895
3948.88,0.1895
3948.75,0.1896
3948.63,0.1898
3948.50,0.1899
3948.38,0.1901
3948.25,0.1902
3948.13,0.1903
3948.00,0.1902
3947.88,0.1900
3947.75,0.1897
3947.63,0.1895
3947.50,0.1893
3947.38,0.1894
3947.25,0.1896
3947.13,0.1900
3947.00,0.1904
3946.88,0.1908
3946.75,0.1909
3946.63,0.1907
3946.50,0.1903
3946.38,0.1899
3946.25,0.1896
3946.13,0.1895
3946.00,0.1895
3945.88,0.1896
3945.75,0.1899
3945.63,0.1901
3945.50,0.1901
3945.38,0.1900
3945.25,0.1900
3945.13,0.1900
3945.00,0.1899
3944.88,0.1899
3944.75,0.1897
3944.63,0.1897
3944.50,0.1897
3944.38,0.1899
3944.25,0.1900
3944.13,0.1902
3944.00,0.1904
3943.88,0.1905
3943.75,0.1905
3943.63,0.1903
3943.50,0.1901
3943.38,0.1900
3943.25,0.1899
3943.13,0.1899
3943.00,0.1898
3942.88,0.1897
3942.75,0.1896
3942.63,0.1896
3942.50,0.1896
3942.38,0.1896
3942.25,0.1894
3942.13,0.1893
3942.00,0.1891
3941.88,0.1891
3941.75,0.1892
3941.63,0.1894
3941.50,0.1897
3941.38,0.1900
3941.25,0.1901
3941.13,0.1900
3941.00,0.1898
3940.88,0.1897
3940.75,0.1896
3940.63,0.1895
3940.50,0.1896
3940.38,0.1897
3940.25,0.1898
3940.13,0.1898
3940.00,0.1895
3939.88,0.1893
3939.75,0.1892
3939.63,0.1894
3939.50,0.1898
3939.38,0.1902
3939.25,0.1903
3939.13,0.1902
3939.00,0.1898
3938.88,0.1896
3938.75,0.1895
3938.63,0.1896
3938.50,0.1897
3938.38,0.1898
3938.25,0.1898
3938.13,0.1897
3938.00,0.1896
3937.88,0.1895
3937.75,0.1894
3937.63,0.1893
3937.50,0.1892
3937.38,0.1892
3937.25,0.1894
3937.13,0.1897
3937.00,0.1900
3936.88,0.1900
3936.75,0.1900
3936.63,0.1900
3936.50,0.1900
3936.38,0.1899
3936.25,0.1897
3936.13,0.1896
3936.00,0.1894
3935.88,0.1893
3935.75,0.1892
3935.63,0.1892
3935.50,0.1892
3935.38,0.1893
3935.25,0.1893
3935.13,0.1892
3935.00,0.1892
3934.88,0.1893
3934.75,0.1895
3934.63,0.1897
3934.50,0.1899
3934.38,0.1899
3934.25,0.1898
3934.13,0.1896
3934.00,0.1895
3933.88,0.1893
3933.75,0.1892
3933.63,0.1891
3933.50,0.1891
3933.38,0.1891
3933.25,0.1890
3933.13,0.1889
3933.00,0.1888
3932.88,0.1888
3932.75,0.1889
3932.63,0.1891
3932.50,0.1893
3932.38,0.1894
3932.25,0.1894
3932.13,0.1893
3932.00,0.1891
3931.88,0.1889
3931.75,0.1890
3931.63,0.1893
3931.50,0.1896
3931.38,0.1897
3931.25,0.1897
3931.13,0.1897
3931.00,0.1896
3930.88,0.1897
3930.75,0.1897
3930.63,0.1896
3930.50,0.1894
3930.38,0.1892
3930.25,0.1892
3930.13,0.1891
3930.00,0.1889
3929.88,0.1888
3929.75,0.1889
3929.63,0.1890
3929.50,0.1892
3929.38,0.1893
3929.25,0.1894
3929.13,0.1895
3929.00,0.1895
3928.88,0.1894
3928.75,0.1892
3928.63,0.1890
3928.50,0.1889
3928.38,0.1889
3928.25,0.1891
3928.13,0.1893
3928.00,0.1894
3927.88,0.1894
3927.75,0.1893
3927.63,0.1892
3927.50,0.1891
3927.38,0.1891
3927.25,0.1891
3927.13,0.1891
3927.00,0.1892
3926.88,0.1893
3926.75,0.1894
3926.63,0.1894
3926.50,0.1893
3926.38,0.1891
3926.25,0.1889
3926.13,0.1887
3926.00,0.1887
3925.88,0.1888
3925.75,0.1890
3925.63,0.1892
3925.50,0.1894
3925.38,0.1895
3925.25,0.1894
3925.13,0.1893
3925.00,0.1891
3924.88,0.1890
3924.75,0.1889
3924.63,0.1887
3924.50,0.1884
3924.38,0.1882
3924.25,0.1881
3924.13,0.1883
3924.00,0.1887
3923.88,0.1890
3923.75,0.1892
3923.63,0.1892
3923.50,0.1891
3923.38,0.1891
3923.25,0.1891
3923.13,0.1892
3923.00,0.1891
3922.88,0.1890
3922.75,0.1889
3922.63,0.1890
3922.50,0.1891
3922.38,0.1892
3922.25,0.1892
3922.13,0.1892
3922.00,0.1893
3921.88,0.1894
3921.75,0.1894
3921.63,0.1892
3921.50,0.1888
3921.38,0.1886
3921.25,0.1884
3921.13,0.1885
3921.00,0.1886
3920.88,0.1887
3920.75,0.1889
3920.63,0.1890
3920.50,0.1890
3920.38,0.1891
3920.25,0.1891
3920.13,0.1891
3920.00,0.1889
3919.88,0.1886
3919.75,0.1885
3919.63,0.1887
3919.50,0.1891
3919.38,0.1894
3919.25,0.1895
3919.13,0.1894
3919.00,0.1890
3918.88,0.1886
3918.75,0.1884
3918.63,0.1885
3918.50,0.1888
3918.38,0.1890
3918.25,0.1893
3918.13,0.1894
3918.00,0.1894
3917.88,0.1892
3917.75,0.1890
3917.63,0.1887
3917.50,0.1884
3917.38,0.1881
3917.25,0.1881
3917.13,0.1883
3917.00,0.1886
3916.88,0.1889
3916.75,0.1891
3916.63,0.1890
3916.50,0.1889
3916.38,0.1888
3916.25,0.1887
3916.13,0.1888
3916.00,0.1890
3915.88,0.1890
3915.75,0.1889
3915.63,0.1886
3915.50,0.1885
3915.38,0.1885
3915.25,0.1887
3915.13,0.1891
3915.00,0.1892
3914.88,0.1891
3914.75,0.1889
3914.63,0.1888
3914.50,0.1887
3914.38,0.1887
3914.25,0.1888
3914.13,0.1889
3914.00,0.1891
3913.88,0.1892
3913.75,0.1892
3913.63,0.1892
3913.50,0.1891
3913.38,0.1890
3913.25,0.1891
3913.13,0.1893
3913.00,0.1894
3912.88,0.1892
3912.75,0.1889
3912.63,0.1887
3912.50,0.1887
3912.38,0.1889
3912.25,0.1890
3912.13,0.1889
3912.00,0.1888
3911.88,0.1887
3911.75,0.1887
3911.63,0.1885
3911.50,0.1883
3911.38,0.1882
3911.25,0.1882
3911.13,0.1882
3911.00,0.1883
3910.88,0.1884
3910.75,0.1886
3910.63,0.1887
3910.50,0.1887
3910.38,0.1886
3910.25,0.1886
3910.13,0.1885
3910.00,0.1884
3909.88,0.1883
3909.75,0.1883
3909.63,0.1882
3909.50,0.1882
3909.38,0.1883
3909.25,0.1886
3909.13,0.1889
3909.00,0.1890
3908.88,0.1891
3908.75,0.1890
3908.63,0.1889
3908.50,0.1887
3908.38,0.1884
3908.25,0.1882
3908.13,0.1883
3908.00,0.1887
3907.88,0.1891
3907.75,0.1893
3907.63,0.1891
3907.50,0.1888
3907.38,0.1887
3907.25,0.1886
3907.13,0.1884
3907.00,0.1882
3906.88,0.1882
3906.75,0.1882
3906.63,0.1884
3906.50,0.1886
3906.38,0.1887
3906.25,0.1886
3906.13,0.1884
3906.00,0.1883
3905.88,0.1882
3905.75,0.1882
3905.63,0.1882
3905.50,0.1884
3905.38,0.1888
3905.25,0.1893
3905.13,0.1896
3905.00,0.1898
3904.88,0.1897
3904.75,0.1895
3904.63,0.1892
3904.50,0.1888
3904.38,0.1886
3904.25,0.1885
3904.13,0.1884
3904.00,0.1882
3903.88,0.1881
3903.75,0.1882
3903.63,0.1885
3903.50,0.1888
3903.38,0.1887
3903.25,0.1885
3903.13,0.1882
3903.00,0.1881
3902.88,0.1882
3902.75,0.1885
3902.63,0.1889
3902.50,0.1894
3902.38,0.1897
3902.25,0.1897
3902.13,0.1893
3902.00,0.1889
3901.88,0.1886
3901.75,0.1886
3901.63,0.1886
3901.50,0.1884
3901.38,0.1881
3901.25,0.1879
3901.13,0.1878
3901.00,0.1879
3900.88,0.1881
3900.75,0.1884
3900.63,0.1886
3900.50,0.1889
3900.38,0.1891
3900.25,0.1891
3900.13,0.1890
3900.00,0.1889
3899.88,0.1889
3899.75,0.1891
3899.63,0.1893
3899.50,0.1894
3899.38,0.1893
3899.25,0.1890
3899.13,0.1887
3899.00,0.1884
3898.88,0.1882
3898.75,0.1881
3898.63,0.1879
3898.50,0.1877
3898.38,0.1876
3898.25,0.1878
3898.13,0.1882
3898.00,0.1886
3897.88,0.1888
3897.75,0.1889
3897.63,0.1888
3897.50,0.1884
3897.38,0.1881
3897.25,0.1879
3897.13,0.1879
3897.00,0.1880
3896.88,0.1881
3896.75,0.1882
3896.63,0.1885
3896.50,0.1888
3896.38,0.1888
3896.25,0.1886
3896.13,0.1883
3896.00,0.1880
3895.88,0.1878
3895.75,0.1877
3895.63,0.1876
3895.50,0.1875
3895.38,0.1876
3895.25,0.1879
3895.13,0.1883
3895.00,0.1888
3894.88,0.1891
3894.75,0.1891
3894.63,0.1890
3894.50,0.1887
3894.38,0.1885
3894.25,0.1883
3894.13,0.1883
3894.00,0.1883
3893.88,0.1885
3893.75,0.1887
3893.63,0.1889
3893.50,0.1889
3893.38,0.1887
3893.25,0.1884
3893.13,0.1882
3893.00,0.1882
3892.88,0.1883
3892.75,0.1884
3892.63,0.1883
3892.50,0.1882
3892.38,0.1881
3892.25,0.1881
3892.13,0.1882
3892.00,0.1884
3891.88,0.1884
3891.75,0.1884
3891.63,0.1882
3891.50,0.1881
3891.38,0.1881
3891.25,0.1881
3891.13,0.1880
3891.00,0.1878
3890.88,0.1877
3890.75,0.1877
3890.63,0.1879
3890.50,0.1881
3890.38,0.1883
3890.25,0.1885
3890.13,0.1885
3890.00,0.1883
3889.88,0.1881
3889.75,0.1880
3889.63,0.1880
3889.50,0.1881
3889.38,0.1881
3889.25,0.1880
3889.13,0.1879
3889.00,0.1878
3888.88,0.1879
3888.75,0.1879
3888.63,0.1880
3888.50,0.1881
3888.38,0.1883
3888.25,0.1885
3888.13,0.1887
3888.00,0.1888
3887.88,0.1887
3887.75,0.1885
3887.63,0.1882
3887.50,0.1879
3887.38,0.1876
3887.25,0.1873
3887.13,0.1873
3887.00,0.1875
3886.88,0.1879
3886.75,0.1882
3886.63,0.1885
3886.50,0.1888
3886.38,0.1891
3886.25,0.1892
3886.13,0.1891
3886.00,0.1888
3885.88,0.1883
3885.75,0.1881
3885.63,0.1882
3885.50,0.1882
3885.38,0.1882
3885.25,0.1882
3885.13,0.1884
3885.00,0.1885
3884.88,0.1884
3884.75,0.1883
3884.63,0.1882
